iter	Passed	Remaining
0	133	133639
1	134	67068
2	134	44862
3	135	33763
4	136	27109
5	136	22672
6	137	19496
7	138	17112
8	138	15258
9	139	13775
10	139	12561
11	140	11548
12	140	10700
13	141	9971
14	142	9336
15	142	8777
16	143	8285
17	143	7848
18	144	7456
19	144	7103
20	145	6782
21	145	6489
22	146	6221
23	146	5974
24	147	5747
25	147	5538
26	148	5344
27	148	5164
28	149	4997
29	149	4841
30	150	4694
31	150	4557
32	151	4429
33	151	4307
34	152	4193
35	152	4085
36	153	3983
37	153	3887
38	154	3795
39	154	3707
40	155	3625
41	155	3548
42	156	3473
43	156	3402
44	157	3333
45	157	3269
46	158	3206
47	158	3146
48	159	3089
49	159	3034
50	160	2981
51	160	2930
52	161	2881
53	161	2834
54	162	2788
55	162	2744
56	163	2701
57	163	2660
58	164	2620
59	164	2582
60	165	2544
61	165	2508
62	166	2474
63	166	2440
64	167	2407
65	167	2376
66	168	2345
67	168	2315
68	169	2286
69	170	2258
70	170	2232
71	171	2205
72	171	2179
73	172	2154
74	172	2130
75	173	2106
76	173	2083
77	174	2060
78	174	2037
79	175	2016
80	175	1994
81	176	1973
82	176	1950
83	177	1931
84	177	1911
85	178	1893
86	178	1874
87	179	1856
88	179	1838
89	180	1821
90	180	1804
91	181	1788
92	181	1772
93	182	1756
94	182	1740
95	183	1725
96	183	1710
97	184	1696
98	184	1682
99	185	1668
100	185	1654
101	186	1641
102	187	1628
103	187	1615
104	187	1602
105	188	1589
106	189	1577
107	189	1565
108	190	1553
109	190	1541
110	191	1530
111	191	1518
112	192	1507
113	192	1496
114	193	1486
115	193	1475
116	194	1464
117	194	1454
118	195	1443
119	195	1433
120	196	1424
121	196	1413
122	196	1404
123	197	1395
124	198	1386
125	198	1377
126	198	1367
127	199	1359
128	200	1350
129	200	1342
130	201	1334
131	201	1326
132	202	1318
133	202	1310
134	203	1302
135	203	1294
136	204	1287
137	204	1279
138	205	1272
139	205	1264
140	206	1257
141	206	1249
142	207	1242
143	207	1235
144	208	1228
145	208	1221
146	209	1214
147	209	1208
148	210	1201
149	210	1195
150	211	1188
151	211	1182
152	212	1176
153	213	1170
154	213	1164
155	214	1158
156	214	1152
157	215	1146
158	215	1140
159	216	1134
160	216	1128
161	217	1122
162	217	1117
163	218	1111
164	218	1106
165	219	1100
166	219	1095
167	220	1089
168	220	1084
169	221	1079
170	221	1074
171	222	1069
172	222	1064
173	223	1059
174	223	1054
175	224	1049
176	224	1044
177	225	1040
178	225	1036
179	226	1031
180	227	1027
181	227	1022
182	228	1018
183	228	1013
184	229	1009
185	229	1005
186	230	1000
187	230	996
188	231	992
189	231	988
190	232	983
191	232	979
192	233	975
193	233	971
194	234	967
195	234	963
196	235	959
197	235	955
198	236	951
199	236	947
200	237	943
201	237	939
202	238	935
203	238	931
204	239	927
205	239	924
206	240	920
207	240	916
208	241	913
209	241	909
210	242	905
211	242	902
